,p1,p2,first_turn,winner,turn_count,final_board_state
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 7 0 0 0 5]
 [3 0 1 4 6 8 2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 8 0 5 0]
 [2 4 6 1 9 3 7]]"
0,AIv3,Random,AIv3,AIv3,13,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 12]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  0  0  0  4]
 [ 0  0  9 11  0  0  2]
 [ 8  5  3  7  6  0  1]]"
0,AIv3,Random,Random,AIv3,8,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0]
 [2 0 4 1 5 3 7]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 18  0  0 15]
 [ 0  0  0 16 10 17 11]
 [ 8  0  0 14  9 13  6]
 [ 5  1  7  4  3 12  2]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0 19]
 [ 0  0  0  0  0  0 17]
 [ 0 18  0  0  0  0 15]
 [ 0 10  0  0  0  0  7]
 [ 0  5 14  8 16 11  4]
 [12  2 13  1  6  9  3]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [7 0 0 0 0 5 0]
 [1 3 0 4 8 2 6]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 15  8]
 [ 0  0  0  0 14 13  5]
 [12  0  0  9 10 11  4]
 [ 6  0  0  1  2  7  3]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0 18  0  0  0  0  0]
 [ 0 17  0  0  0  0  0]
 [ 0 16  0  0  0  0 11]
 [ 0 14  0  0  8  0  9]
 [15 12  0  0  7 10  6]
 [13  3  0  4  1  5  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [15 12  0  0  0  0  0]
 [13  7  0  0  0  0  8]
 [11  6  0  0  0  0  5]
 [ 9  4 10  1 14  2  3]]"
0,AIv3,Random,AIv3,AIv3,31,"[[ 0 30  0  0  0  0 17]
 [29 28  0  0  0  0 11]
 [22 26  0  0 27  0  8]
 [21 25 23 20 24 15  7]
 [18 16 19  9  5 12  6]
 [13  3 14  1  4 10  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 10 15]
 [ 0 14  0  0  0  7 13]
 [ 0 12  0  8 11  6  5]
 [ 0  2  0  1  9  4  3]]"
0,AIv3,Random,AIv3,AIv3,15,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  9  0  0  0]
 [ 0 13 12  8 10 14 11]
 [ 5  1  3  6  4  7  2]]"
0,AIv3,Random,Random,AIv3,14,"[[ 0  0  0  0  0  0 10]
 [ 0  0  0  0  0  0  9]
 [ 0  0  0  0  0  0  7]
 [ 0  0 12  0  0  0  6]
 [ 0  0  8  4  0  0  5]
 [ 0  0  2  1 13 11  3]]"
0,AIv3,Random,AIv3,AIv3,11,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  4]
 [ 0  0  0  7  0  0  3]
 [ 5  1  9  6 10  8  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 15  0]
 [ 0 12  0  0  0 13  0]
 [14  8  0  2  0 11 10]
 [ 4  5  7  1  6  9  3]]"
0,AIv3,Random,AIv3,AIv3,23,"[[ 0 22  0  0 17  0  0]
 [ 0 20  0  0 15  0  0]
 [ 0 19  0  0 13  0 10]
 [ 0 18 21  0 12  0  9]
 [ 0 16 11  0  7  8  5]
 [ 0 14  3  6  1  4  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 14]
 [ 0  0  0  0  0  8 12]
 [ 0  0 11 15 13  7  5]
 [ 9  6  4  1 10  2  3]]"
0,AIv3,Random,AIv3,AIv3,21,"[[ 0  0  0  0  0 17  0]
 [ 0  0  0  0  0 16  0]
 [ 0  0  0  0  0 14  0]
 [10  0  0 20  0 13 15]
 [ 9 11 18 19  0 12  4]
 [ 3  8  7  5  1  6  2]]"
0,AIv3,Random,Random,AIv3,8,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [6 4 2 1 7 5 3]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 7]
 [1 5 3 4 8 2 6]]"
0,AIv3,Random,Random,AIv3,22,"[[ 0 21  0  0  0  0  0]
 [ 0 19  0  0  0  0  0]
 [ 0 17  0 18  0  0 20]
 [ 0 15  0 12  7  0 10]
 [ 0  8  0  9  6 13  5]
 [14  4 16  1  2 11  3]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 7]
 [0 0 0 0 0 0 5]
 [0 1 3 6 4 8 2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 9]
 [0 0 0 0 0 0 7]
 [0 0 6 4 0 0 5]
 [0 8 2 1 0 0 3]]"
0,AIv3,Random,AIv3,Random,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0 16  0 10  0 13]
 [ 0  0 15  0  9 17 12]
 [ 0  0 11  0  7 14  8]
 [ 0  6  1  5  3  4  2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 9]
 [0 0 0 0 0 0 7]
 [0 0 0 6 0 0 5]
 [8 0 2 1 0 4 3]]"
